trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
2021-11-13,-41,1.48,17.68,0.87,10.51,-4.93,34.69,32.88,2.31,-5.22,LONG
2021-11-15,-41,4.81,15.24,0.82,4.14,-2.04,34.01,33.27,1.22,-2.18,LONG
2021-11-16,-51,5.96,14.63,0.88,5.65,-2.76,33.77,32.8,2.27,-2.88,SHORT
2021-11-16,-59,11.47,10.21,0.34,7.51,-3.8,32.08,30.72,-0.5,-4.24,SHORT
2021-11-18,-59,22.61,1.85,0.97,5.88,-2.85,29.21,28.35,1.57,-2.95,SHORT
2021-11-19,-17,37.04,4.15,0.32,13.43,6.88,26.55,28.53,7.43,-1.62,SHORT
2021-11-22,17,29.11,4.57,0.93,5.15,2.5,28.38,29.19,2.84,-2.36,SHORT
2021-11-22,-45,26.46,7.66,0.6,5.46,-2.6,29.0,28.2,-0.18,-2.77,SHORT
2021-11-24,-59,37.09,5.65,0.86,5.42,-2.62,26.96,26.2,0.72,-2.82,SHORT
2021-11-25,-17,45.37,3.72,0.32,7.42,3.76,25.6,26.63,4.02,-0.76,SHORT
2021-11-26,-59,40.44,8.88,0.62,8.69,-4.04,26.44,25.24,0.54,-4.52,SHORT
2021-11-28,-59,54.9,7.65,0.88,5.11,-2.48,24.1,23.48,0.83,-2.56,LONG
2021-11-30,-59,45.15,14.27,0.79,4.42,-2.14,25.0,24.44,0.96,-2.24,LONG
2021-12-01,49,40.28,16.01,0.86,9.49,4.47,25.34,26.54,4.72,-0.78,SHORT
2021-12-02,-59,36.34,15.8,1.0,7.69,-3.7,25.35,24.36,-0.18,-3.92,LONG
2021-12-03,35,36.54,12.8,0.33,4.72,2.38,24.55,25.17,2.52,-0.91,SHORT
2021-12-04,-59,39.14,7.97,0.66,14.9,-7.28,23.3,21.0,0.12,-9.87,SHORT
2021-12-06,-59,58.62,4.59,0.54,12.19,-6.06,19.48,18.19,-0.49,-6.63,LONG
2021-12-08,17,43.82,8.83,0.13,7.53,3.41,21.08,21.84,3.61,-1.55,LONG
2021-12-09,-11,31.49,16.89,0.26,11.69,-5.1,22.91,21.67,0.58,-5.43,SHORT
2021-12-12,-31,58.86,3.23,0.29,12.01,6.16,18.54,19.85,7.08,-1.94,LONG
2021-12-13,-59,38.22,13.54,0.72,7.86,-3.7,20.4,19.62,0.67,-3.85,SHORT
2021-12-15,-59,49.72,9.72,0.45,6.68,-3.12,18.42,17.82,1.87,-3.24,LONG
2021-12-17,-59,42.5,13.26,0.44,8.41,-4.22,18.76,17.93,2.32,-4.42,LONG
2021-12-18,23,45.12,12.67,0.66,7.94,3.92,18.25,19.01,4.18,-2.25,LONG
2021-12-20,-59,34.58,15.72,0.58,8.17,-4.06,18.86,18.06,1.65,-4.25,LONG
2021-12-21,45,30.86,14.5,0.93,6.22,3.03,18.78,19.37,3.16,-2.17,LONG
2021-12-22,59,21.38,15.2,0.51,6.91,3.23,19.42,20.07,3.36,-0.91,SHORT
2021-12-23,59,13.56,14.93,0.69,8.42,3.94,19.92,20.75,4.15,-1.73,LONG
2021-12-26,59,4.44,20.37,0.53,6.6,3.3,21.48,22.22,3.41,-0.83,SHORT
2021-12-26,17,2.91,22.93,0.43,5.14,-2.44,22.12,21.52,-0.21,-2.71,LONG
2021-12-27,59,1.08,26.51,0.65,11.2,5.11,22.99,24.25,5.52,-0.87,SHORT
2021-12-28,-11,2.41,27.23,0.98,7.6,-3.66,23.02,22.14,-0.21,-3.81,SHORT
