trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
2021-10-24,-59,6.87,4.96,0.8,2.38,-1.17,1.09,1.08,0.16,-1.2,LONG
2021-10-26,49,6.42,4.22,0.5,2.35,1.15,1.1,1.11,1.2,-0.15,SHORT
2021-10-27,-59,5.19,5.01,0.83,6.61,-3.16,1.11,1.07,1.57,-3.56,SHORT
2021-10-30,59,8.2,4.86,0.36,3.61,1.73,1.08,1.11,2.14,-0.94,SHORT
2021-10-31,59,7.64,5.11,0.96,5.25,2.55,1.09,1.11,2.65,0.06,SHORT
2021-11-03,59,6.58,5.73,0.67,5.71,2.83,1.09,1.12,2.94,-0.55,LONG
2021-11-03,59,2.62,9.37,0.3,5.69,2.66,1.14,1.17,2.83,-0.77,LONG
2021-11-05,-11,0.28,15.82,0.9,8.08,-3.92,1.2,1.15,-0.05,-4.39,LONG
2021-11-06,-59,3.64,12.85,0.42,6.01,-3.02,1.16,1.1,1.21,-5.0,LONG
2021-11-07,59,4.72,12.21,0.91,7.07,3.43,1.15,1.19,3.59,-0.51,LONG
2021-11-08,59,0.24,17.6,0.25,8.06,3.66,1.22,1.28,4.39,-0.02,LONG
2021-11-09,31,2.08,22.58,0.2,6.34,-2.93,1.28,1.24,0.32,-3.17,LONG
2021-11-10,3,1.35,21.58,0.62,5.23,-2.6,1.26,1.22,0.56,-2.69,SHORT
2021-11-12,-47,6.12,18.17,0.68,6.57,-3.12,1.22,1.18,1.56,-3.28,LONG
2021-11-15,-53,9.02,15.4,0.98,3.18,-1.56,1.19,1.17,0.87,-1.61,LONG
2021-11-15,41,9.33,14.83,0.98,2.71,1.34,1.19,1.21,1.6,0.21,SHORT
2021-11-16,-59,11.01,13.21,0.71,4.74,-2.35,1.17,1.13,-0.26,-3.72,SHORT
2021-11-18,-17,17.25,4.39,0.86,5.05,2.44,1.1,1.13,2.73,-0.36,SHORT
2021-11-21,-59,17.61,5.54,0.83,3.89,-1.9,1.1,1.07,0.0,-2.13,SHORT
2021-11-22,-59,22.28,2.66,0.1,3.99,-2.03,1.06,1.03,-0.13,-2.2,LONG
2021-11-23,-31,25.43,2.18,0.53,4.35,2.17,1.04,1.06,2.38,-1.49,LONG
2021-11-24,-59,21.44,5.94,0.42,5.07,-2.4,1.07,1.04,0.56,-2.61,SHORT
2021-11-26,-59,23.87,6.48,0.73,4.19,-2.03,1.04,1.02,0.24,-2.12,SHORT
2021-11-28,-59,37.8,2.75,0.8,3.42,-1.67,0.95,0.93,0.14,-1.71,LONG
2021-11-30,35,26.72,8.14,0.45,4.05,1.94,0.99,1.01,2.0,0.23,SHORT
