trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-10-13,31,2.6,35.6,0.18,6.26,-3.05,57500.01,55746.22,0.25,-3.05,-3.05,LONG
2021-10-15,59,7.93,33.67,0.99,3.11,1.64,57377.12,58316.75,1.64,-0.79,1.64,LONG
2021-10-18,17,5.91,35.75,0.65,3.6,-1.85,60925.56,59798.58,0.91,-1.85,-1.85,LONG
2021-10-18,3,6.12,34.59,0.78,4.84,-2.42,61571.45,60078.39,1.83,-2.42,-2.42,LONG
2021-10-20,59,5.96,32.33,0.84,4.71,2.43,62037.92,63547.28,2.43,-1.03,2.43,LONG
2021-10-20,59,3.0,31.97,0.29,5.16,2.59,64314.75,65980.87,2.59,-1.08,2.59,LONG
2021-10-21,17,1.56,31.68,0.52,5.65,-3.23,66064.25,63932.78,0.94,-3.23,-3.23,SHORT
2021-10-24,-49,9.36,19.77,0.73,3.55,-1.77,61325.09,60237.05,0.32,-1.77,-1.77,LONG
2021-10-25,15,9.46,16.63,0.79,3.34,1.91,60902.82,62067.99,1.91,-0.32,1.91,LONG
2021-10-27,-47,5.65,17.78,0.28,5.08,-2.8,63129.25,61360.0,0.3,-2.8,-2.8,SHORT
2021-10-27,-59,10.53,13.2,0.21,5.58,-3.25,60358.74,58394.29,1.91,-3.25,-3.25,LONG
2021-10-28,-27,13.69,9.12,0.48,6.11,3.33,58449.36,60397.2,3.33,-0.44,3.33,LONG
2021-10-31,-31,6.33,9.72,0.77,2.86,-1.45,61895.19,61000.0,0.86,-1.45,-1.45,LONG
2021-11-01,-59,7.18,8.19,0.78,3.97,-2.01,61347.14,60111.03,0.71,-2.01,-2.01,LONG
2021-11-02,59,7.25,6.14,0.87,5.12,2.86,60942.87,62688.55,2.86,-0.43,2.86,LONG
2021-11-04,-53,3.23,8.57,0.37,6.05,-3.35,63266.69,61150.0,0.46,-3.35,-3.35,LONG
2021-11-05,-59,3.36,6.83,0.9,5.24,-2.72,62946.45,61236.06,0.32,-2.72,-2.72,LONG
2021-11-07,59,5.75,4.68,0.67,2.53,1.39,61511.3,62368.04,1.39,-0.23,1.39,LONG
2021-11-08,59,2.95,7.4,0.1,3.27,1.76,63316.4,64431.94,1.76,0.16,1.76,LONG
2021-11-10,59,0.97,13.63,0.75,3.51,1.78,67010.65,68204.0,1.78,-1.01,1.78,SHORT
2021-11-12,-23,3.29,10.61,0.94,2.31,-1.29,64831.2,63995.6,1.02,-1.29,-1.29,LONG
2021-11-14,53,4.47,9.6,0.84,2.56,1.36,64426.99,65305.07,1.36,0.06,1.36,LONG
2021-11-16,-35,3.09,11.24,0.41,3.0,-1.61,65568.38,64511.21,1.2,-1.61,-1.61,SHORT
2021-11-16,-59,6.22,8.09,0.37,4.64,-2.67,63654.49,61952.42,-0.41,-2.67,-2.67,SHORT
2021-11-18,-59,11.68,2.52,0.9,4.18,-2.11,60366.97,59095.34,1.01,-2.11,-2.11,SHORT
2021-11-21,-3,17.44,1.59,0.58,4.79,2.51,58069.52,59527.59,2.51,-1.02,2.51,LONG
2021-11-22,-59,16.55,3.5,0.31,2.57,-1.41,58648.87,57821.83,0.0,-1.41,-1.41,SHORT
2021-11-24,-59,19.21,4.34,0.5,4.69,-2.3,57574.24,56249.8,0.32,-2.3,-2.3,LONG
2021-11-25,29,20.25,4.58,0.78,3.26,1.84,57165.09,58216.29,1.84,-0.01,1.84,LONG
2021-11-26,-31,16.52,7.86,0.25,4.23,-2.12,58988.36,57738.95,0.3,-2.12,-2.12,SHORT
2021-11-28,-59,26.3,4.43,0.41,3.09,-1.62,54738.77,53850.0,0.14,-1.62,-1.62,LONG
2021-11-30,-31,15.88,9.22,0.77,3.85,-2.09,57827.97,56619.46,0.27,-2.09,-2.09,LONG
2021-12-01,55,16.33,7.99,0.74,5.75,2.95,56978.06,58656.89,2.95,-0.48,2.95,SHORT
2021-12-02,-59,14.42,8.25,0.91,4.56,-2.28,57209.28,55902.6,0.28,-2.28,-2.28,LONG
2021-12-03,53,14.45,7.1,0.57,2.85,1.8,56513.56,57529.99,1.8,-0.7,1.8,SHORT
2021-12-04,-59,19.14,2.58,0.59,12.5,-8.08,53611.86,49277.72,0.47,-8.08,-8.08,SHORT
2021-12-06,-59,26.95,1.98,0.88,3.96,-2.1,49373.83,48339.41,-0.14,-2.1,-2.1,LONG
2021-12-08,-59,22.84,3.21,0.92,3.8,-2.12,50577.2,49502.5,0.41,-2.12,-2.12,LONG
2021-12-09,-59,23.16,4.3,0.95,5.29,-2.65,50459.61,49120.55,0.62,-2.65,-2.65,SHORT
