trade_date,score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,current_btc_rate,result
2021-10-18,59,10.5,16.97,0.97,7.37,3.55,0.24,0.25,3.71,-0.15,1.36,LONG
2021-10-20,59,5.93,14.4,0.88,6.12,2.99,0.25,0.25,3.57,-1.3,2.66,LONG
2021-10-21,3,1.8,15.31,0.53,8.14,-3.77,0.26,0.24,1.44,-3.97,-4.3,SHORT
2021-10-23,59,6.94,10.14,0.35,7.44,3.76,0.24,0.25,4.16,-2.53,-2.29,SHORT
2021-10-24,59,2.88,10.73,0.51,5.46,2.59,0.25,0.26,2.76,-2.08,-0.81,LONG
2021-10-27,-29,1.24,17.46,0.55,8.55,-4.25,0.27,0.25,3.38,-4.74,-4.79,LONG
2021-10-27,-59,5.08,14.44,0.62,9.31,-4.61,0.26,0.24,3.07,-5.78,-2.4,SHORT
2021-10-28,59,12.98,8.13,0.67,21.07,10.18,0.24,0.27,11.42,-2.02,0.97,LONG
2021-10-30,17,0.14,27.73,0.66,11.21,-5.51,0.29,0.27,2.33,-5.94,-2.22,SHORT
2021-11-03,-49,8.11,20.43,0.82,5.31,-2.56,0.27,0.26,1.22,-3.43,-1.24,LONG
2021-11-05,-57,10.33,17.68,0.69,6.16,-3.04,0.27,0.26,0.7,-3.15,-2.07,LONG
2021-11-06,-59,13.39,12.75,0.86,5.54,-2.71,0.26,0.25,2.45,-3.06,-1.18,LONG
2021-11-08,57,10.75,12.79,0.6,4.52,2.17,0.27,0.27,2.23,-0.69,3.0,LONG
2021-11-11,-59,8.68,13.87,0.61,7.41,-3.67,0.27,0.26,1.21,-4.8,-0.26,SHORT
2021-11-13,-59,13.46,7.64,0.71,7.32,-3.46,0.26,0.25,3.11,-3.81,-3.54,LONG
2021-11-14,47,12.71,7.68,0.78,3.14,1.53,0.26,0.27,2.06,-0.36,-0.2,SHORT
2021-11-16,-59,11.97,8.35,0.87,4.9,-2.38,0.26,0.26,0.82,-2.44,-2.85,LONG
2021-11-16,-59,14.6,6.13,0.4,3.84,-1.93,0.26,0.25,-0.31,-2.66,-1.68,SHORT
2021-11-18,-59,22.24,0.6,0.93,5.21,-2.53,0.24,0.23,1.68,-2.75,-1.55,SHORT
2021-11-19,-17,31.62,4.62,0.38,11.18,5.66,0.22,0.24,6.64,-2.18,1.18,SHORT
2021-11-21,-59,24.23,3.76,0.97,4.59,-2.24,0.23,0.23,-0.09,-2.4,-1.83,SHORT
